komentar,platform
"film paling sampah,,,banyak adegan gak.penting,,,, banyak adegan yg terlalu maksa...!! bisa gitu anak2 dr jarak sekian, bisa lihat ada koin yg masuk dr lubang kecil...jenazah kecelakaan maksa banget ditinggal sendiri di setiap unit...Tiba2 remaja kecil disuruh periksa jenazah di lt 13...detail yg terlalu dipaksakan, mau film atau realita juga gak akan mungkin, sangat dipaksakan sekali adegannya 😂😂😂 udah penasaran dr sekian lama bru ninton skarang, ternyata ekspektasi sangat jauh..klo rating ini mah 2/10 😂😂😂",youtube
disney+,youtube
plot twist joko Anwar gila sih,youtube
only disney+,youtube
Kardeşim daha önce hiç Türk korku filmi izledin mi siccin serisini tavsiye ederim,youtube
"Kalau kritik tu jgn keliatan bego bgt, koin sebegitu berhamburannya udh pasti org notice, apalagi tu bocah bocah matanya masih sehat yakali ga keliatan, emang nya elu dh tua matanya Burem wkkwkw",youtube
"Kalo film sampah kenapa banyak yang nonton, sekarang gw tanya emang nya Lo bisa buat film???",youtube
" @sinarputrach4719  tolol,  knapa bnyak yg nonton karena kemakan promosi boss, aslinya begitu ditonton, filmnya gak bermutu....
gua bisa bikin film ato engga?? komen paling bego...emang polisi harus jadi maling untuk tau bagaimana cara maling bekerja??? GUA GAK HARUS BIKIN FILM UNTUK MEMILIKI EKSPEKTASI TERHADAP FILM INDONESIA AGAR BISA BERSAING..",youtube
Si tony umurnya dh 21 bukan 13 thn😬,youtube
" @veraa_ea  okelah, kecuali dlm cerita dibikin adegan klo si toni adalah karakter yg tidak percaya hantu, baru masuk akal..disuruh periksa sendirian...lah ini kelihatan banget, antara takut karena percaya hantu atau takutt karena ada orang jahat?? tidak jelas karakter yg mau dimainkan, aplgi ini indonesia, bukan amerika..klihatan dr ekspresi yh diarahkan sutradara, takut karena hantu atau tidak takut sam sekali...detailnya kurang diperhatikan..ekspresi yg ditujukan dsini hanya ekspresi terial2 gak jelas..",youtube
"Kan koin sebanyak itu kalau jatuh kedengeran, jadi pas momen lift buka tau ada duit disitu ya berebut",youtube
